event_date,year,disorder_type,event_type,sub_event_type,actor1,inter1,admin1,admin2,location,latitude,longitude,fatalities
2024-09-20,2024,Demonstrations,Protests,Peaceful protest,Protesters (Nigeria),6,Borno,Maiduguri Metro,Bolori,11.8826,13.089,0.0
2024-09-20,2024,Demonstrations,Protests,Peaceful protest,Protesters (Nigeria),6,Osun,Ife Central,Ile-Ife,7.4824,4.5603,0.0
2024-09-19,2024,Demonstrations,Protests,Peaceful protest,Protesters (Nigeria),6,Oyo,Ibadan North,Agodi,7.4035,3.9132,0.0
2024-09-19,2024,Strategic developments,Strategic developments,Disrupted weapons use,Police Forces of Nigeria (2023-),1,Kaduna,Chikun,Buruku,10.6179,7.2331,0.0
2024-09-19,2024,Demonstrations,Protests,Peaceful protest,Protesters (Nigeria),6,Edo,Etsako East,Wanno,7.1389,6.5724,0.0
2024-09-19,2024,Political violence,Battles,Armed clash,Police Forces of Nigeria (2023-),1,Katsina,Kurfi,Kurfi,12.6684,7.4841,10.0
2024-09-18,2024,Demonstrations,Protests,Peaceful protest,Protesters (Nigeria),6,Enugu,Nsukka,Nsukka,6.8561,7.3927,0.0
2024-09-18,2024,Demonstrations,Protests,Peaceful protest,Protesters (Nigeria),6,Oyo,Ibadan North,Agodi,7.4035,3.9132,0.0
2024-09-18,2024,Political violence,Riots,Mob violence,Rioters (Nigeria),5,Lagos,Lagos Island,Obalende,6.4444,3.3929,0.0
2024-09-17,2024,Political violence,Battles,Armed clash,Military Forces of Nigeria (2023-),1,Niger,Shiroro,Alawa,10.3228,6.6542,2.0
2024-09-17,2024,Political violence,Battles,Armed clash,Military Forces of Nigeria (2023-),1,Kaduna,Giwa,Hayin Kanwa,11.1736,7.3156,2.0
2024-09-17,2024,Political violence,Battles,Armed clash,Military Forces of Nigeria (2023-),1,Kaduna,Birnin Gwari,Kwaga,10.7098,6.6252,0.0
2024-09-17,2024,Demonstrations,Protests,Peaceful protest,Protesters (Nigeria),6,Lagos,Ajeromi,Ajegunle,6.4568,3.3415,0.0
2024-09-17,2024,Political violence,Riots,Mob violence,Rioters (Nigeria),5,Federal Capital Territory,Abuja Municipal,Garki,9.0131,7.4813,0.0
2024-09-17,2024,Political violence,Violence against civilians,Abduction/forced disappearance,Unidentified Armed Group (Nigeria),3,Anambra,Idemili North,Abatete,6.1297,6.9326,0.0
2024-09-16,2024,Political violence,Battles,Armed clash,IPOB: Indigenous Peoples of Biafra,2,Anambra,Orumba South,Umunze,5.964,7.2369,2.0
2024-09-16,2024,Strategic developments,Strategic developments,Disrupted weapons use,Military Forces of Nigeria (2023-),1,Plateau,Jos North,Naraguta,9.9781,8.8933,0.0
2024-09-16,2024,Political violence,Battles,Armed clash,SEC: Supreme Eiye Confraternity (Nigeria),3,Lagos,Agege,Agege,6.6143,3.3244,1.0
2024-09-16,2024,Political violence,Violence against civilians,Attack,Kaduna Communal Militia (Nigeria),4,Kaduna,Kagarko,Kagarko,9.4833,7.6833,5.0
2024-09-16,2024,Political violence,Violence against civilians,Abduction/forced disappearance,Unidentified Armed Group (Nigeria),3,Lagos,Ikorodu,Ikorodu,6.6155,3.5087,0.0
2024-09-16,2024,Political violence,Battles,Armed clash,Unidentified Cult Militia (Nigeria),3,Benue,Makurdi,Makurdi,7.7411,8.5121,0.0
2024-09-16,2024,Political violence,Violence against civilians,Abduction/forced disappearance,Unidentified Armed Group (Nigeria),3,Anambra,Idemili South,Oba,6.0667,6.8403,0.0
2024-09-16,2024,Political violence,Violence against civilians,Abduction/forced disappearance,Unidentified Armed Group (Nigeria),3,Kebbi,Dandi Kamba,Kamba,11.8486,3.6576,0.0
2024-09-15,2024,Political violence,Battles,Armed clash,IPOB: Indigenous Peoples of Biafra,2,Imo,Njaba,Umuaka,5.65,7.0166,3.0
2024-09-15,2024,Political violence,Violence against civilians,Attack,Kaduna Communal Militia (Nigeria),4,Kaduna,Kajuru,Maro,10.0817,7.7247,3.0
2024-09-15,2024,Demonstrations,Protests,Peaceful protest,Protesters (Nigeria),6,Lagos,Somolu,Bariga,6.535,3.3947,0.0
2024-09-15,2024,Demonstrations,Protests,Peaceful protest,Protesters (Nigeria),6,Lagos,Ikorodu,Ikorodu,6.6155,3.5087,0.0
2024-09-15,2024,Demonstrations,Protests,Peaceful protest,Protesters (Nigeria),6,Delta,Oshimili South,Asaba,6.2006,6.7339,0.0
2024-09-15,2024,Political violence,Violence against civilians,Attack,Plateau Communal Militia (Nigeria),4,Plateau,Bokkos,Mbar,9.2667,8.95,5.0
2024-09-15,2024,Political violence,Battles,Armed clash,Plateau Communal Militia (Nigeria),4,Plateau,Bokkos,Mbar,9.2667,8.95,0.0
2024-09-15,2024,Political violence,Violence against civilians,Abduction/forced disappearance,Unidentified Armed Group (Nigeria),3,Edo,Egor,Ugbowo,6.4003,5.6101,0.0
2024-09-15,2024,Political violence,Battles,Armed clash,Police Forces of Nigeria (2023-),1,Edo,Egor,Egor,6.3811,5.5698,1.0
2024-09-14,2024,Political violence,Violence against civilians,Attack,Unidentified Armed Group (Nigeria),3,Rivers,Port Harcourt,Abuloma,4.7783,7.0613,3.0
2024-09-14,2024,Political violence,Violence against civilians,Attack,Military Forces of Nigeria (2023-),1,Nassarawa,Lafia,Lafia,8.4833,8.5167,1.0
2024-09-14,2024,Demonstrations,Riots,Violent demonstration,Rioters (Nigeria),5,Bauchi,Toro,Tilden Fulani,10.0427,8.9925,0.0
2024-09-14,2024,Political violence,Riots,Mob violence,Rioters (Nigeria),5,Adamawa,Lamurde,Tigno,9.4918,11.6779,3.0
2024-09-14,2024,Political violence,Battles,Armed clash,Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,2,Borno,Gwoza,Pulka,11.1767,13.8256,1.0
2024-09-14,2024,Political violence,Battles,Armed clash,Military Forces of Nigeria (2023-),1,Borno,Mafa,Mafa,12.1096,13.7005,3.0
2024-09-13,2024,Political violence,Battles,Armed clash,Military Forces of Nigeria (2023-),1,Borno,Gwoza,Gwoza,11.084,13.6925,2.0
2024-09-13,2024,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Nigeria (2023-),1,Abia,Ukwa West,Uzaku,4.9036,7.1831,0.0
2024-09-13,2024,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Nigeria (2023-),1,Abia,Ukwa West,Obuzor,4.9366,7.2145,0.0
2024-09-13,2024,Political violence,Violence against civilians,Attack,Fulani Ethnic Militia (Nigeria),4,Imo,Owerri West,Irete,5.5192,6.9898,0.0
2024-09-13,2024,Political violence,Battles,Armed clash,Military Forces of Nigeria (2023-),1,Katsina,Safana,Safana,12.3778,7.377,10.0
2024-09-13,2024,Political violence,Battles,Armed clash,Police Forces of Nigeria (2023-) Department of State Services,1,Niger,Tafa,Tafa,9.1355,7.1348,2.0
2024-09-12,2024,Political violence,Violence against civilians,Abduction/forced disappearance,Kaduna Communal Militia (Nigeria),4,Kaduna,Kagarko,Kasangwai,9.5555,7.7412,0.0
2024-09-12,2024,Political violence,Violence against civilians,Abduction/forced disappearance,Zamfara Communal Militia (Nigeria),4,Zamfara,Tsafe,Kutcheri,11.8316,7.0223,0.0
2024-09-12,2024,Political violence,Battles,Armed clash,Military Forces of Nigeria (2023-),1,Borno,Konduga,Kashomri,11.5905,13.578,4.0
2024-09-12,2024,Political violence,Battles,Armed clash,Military Forces of Nigeria (2023-),1,Kaduna,Kachia,Kachia,9.8734,7.9541,0.0
2024-09-12,2024,Political violence,Battles,Armed clash,Military Forces of Nigeria (2023-),1,Niger,Suleja,Suleja,9.1758,7.1808,3.0
2024-09-12,2024,Political violence,Battles,Armed clash,Military Forces of Nigeria (2023-),1,Zamfara,Maru,Mayanchi,12.3595,6.2568,39.0
2024-09-12,2024,Political violence,Battles,Armed clash,SVC: Supreme Vikings Confraternity (Nigeria),3,Rivers,Port Harcourt,Port Harcourt,4.7774,7.0134,0.0
